firm_id,baseline_employees,total_grant_amount,grant_stage1_amount,grant_stage2_total_amount,grant_stage3_amount,post_grant_permanent_employees,post_grant_temporary_employees,total_employees_post_grant
11130,3,2700000.0,200000.0,2100000.0,200000.0,3,6,36
11154,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
11185,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
11275,33,4000000.0,300000.0,1970000.0,950000.0,0,0,00
11389,3,0.0,0.0,0.0,0.0,6,3,63
11454,3,0.0,0.0,0.0,0.0,12,15,1215
11489,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
11523,3,7000000.0,400000.0,3100000.0,1750000.0,5,7,57
11537,8 people,0.0,0.0,0.0,0.0,5,3,53
11542,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
11578,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
11629,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
11630,3,4700000.0,470000.0,2380000.0,675000.0,11,6,116
11651,"1 office manager, 1 trainee computer assembler, 2 training staff, 1 junior office clerk, totaling 5 personnel staff",4400000.0,440000.0,2260000.0,600000.0,4,2,42
11725,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
11972,3,6000000.0,600000.0,2900000.0,1000000.0,4,3,43
12004,7,3000000.0,100000.0,1400000.0,750000.0,15,8,158
12015,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
12033,One (Three in all),4000000.0,300000.0,1970000.0,950000.0,0,0,00
12097,"Presently, the business employs 3 permanent staff and engages as much as 6 â 10 individuals during periods of weeding, planting, and other cultivation activities.",10000000.0,400000.0,4600000.0,2500000.0,6,20,620
12108,15,3000000.0,100000.0,1650000.0,500000.0,Deceased,Deceased,DeceasedDeceased
12123,3,4000000.0,200000.0,1800000.0,1000000.0,4,2,42
12147,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
12173,"Five (5) people, two (2) are assigned for designing of both male and female clothes, one (1) for sewing men clothes, one (1) for female clothes and one(1) for ironing and putting buttons.",2000000.0,200000.0,800000.0,500000.0,12,5,125
12198,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
12214,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
12228,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
12314,45,6000000.0,200000.0,2800000.0,1500000.0,26,18,2618
12335,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
12363,3 people.,2000000.0,200000.0,800000.0,500000.0,8,5,85
12405,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
12414,3,2400000.0,240000.0,1200000.0,360000.0,4,1,41
12466,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
12482,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
12579,20 People,4000000.0,300000.0,1970000.0,950000.0,0,0,00
12612,20,3000000.0,0.0,1950000.0,300000.0,19,4,194
12622,4,4000000.0,300000.0,1970000.0,950000.0,0,0,00
12745,3,0.0,0.0,0.0,0.0,12,4,124
12750,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
12891,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
12946,20,6000000.0,200000.0,2800000.0,1500000.0,8,4,84
12953,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
12963,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
